FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
943,10.0.0.11,10.0.0.16,28,28,0,0,2.17977e+06,0.00677334
944,10.0.0.16,10.0.0.11,14,14,0,0,116734,0.00234448
945,10.0.0.10,10.0.0.2,27,27,0,0,1.88919e+06,0.144987
946,10.0.0.2,10.0.0.10,14,14,0,0,106703,0.0124947
947,10.0.0.20,10.0.0.7,27,27,0,0,1.99577e+06,0.0155261
948,10.0.0.7,10.0.0.20,14,14,0,0,115543,0.0562319
949,10.0.0.7,10.0.0.8,2,1,1,50,8308.93,6.6639e-05
950,10.0.0.18,10.0.0.2,28,28,0,0,2.18004e+06,0.0056142
951,10.0.0.2,10.0.0.18,14,14,0,0,116724,0.00274801
952,10.0.0.17,10.0.0.5,27,27,0,0,1.83342e+06,0.232592
953,10.0.0.5,10.0.0.17,14,14,0,0,105819,0.0387877
954,10.0.0.5,10.0.0.15,26,26,0,0,810207,1.15997
955,10.0.0.15,10.0.0.5,14,14,0,0,46452.6,0.0908532
956,10.0.0.14,10.0.0.9,12,12,0,0,721397,0.0305119
957,10.0.0.9,10.0.0.14,6,6,0,0,94865.4,0.00911646
958,10.0.0.3,10.0.0.1,28,28,0,0,2.11389e+06,0.00819769
959,10.0.0.1,10.0.0.3,15,15,0,0,122016,0.0100983
960,10.0.0.14,10.0.0.12,28,28,0,0,2.14328e+06,0.00956073
961,10.0.0.12,10.0.0.14,14,14,0,0,115120,0.00305879
962,10.0.0.15,10.0.0.1,27,25,2,7.40741,131995,0.157169
963,10.0.0.1,10.0.0.15,23,22,1,4.34783,11602.4,0.0200802
964,10.0.0.10,10.0.0.19,28,28,0,0,1.59768e+06,0.383191
965,10.0.0.19,10.0.0.10,14,14,0,0,85665.5,0.0285757
966,10.0.0.2,10.0.0.13,28,28,0,0,2.18211e+06,0.00653911
967,10.0.0.13,10.0.0.2,14,14,0,0,116728,0.00250429
968,10.0.0.12,10.0.0.1,26,26,0,0,1.99297e+06,0.00959353
969,10.0.0.1,10.0.0.12,13,13,0,0,107885,0.0272207
970,10.0.0.7,10.0.0.12,27,27,0,0,409821,2.18363
971,10.0.0.12,10.0.0.7,21,21,0,0,33148.5,0.309418
972,10.0.0.2,10.0.0.16,24,23,1,4.16667,1.3253e+06,0.502537
973,10.0.0.16,10.0.0.2,20,19,1,5,8676.29,0.0661111
974,10.0.0.5,10.0.0.3,28,27,1,3.57143,2.14479e+06,0.0212526
975,10.0.0.3,10.0.0.5,20,19,1,5,123363,0.0696611
976,10.0.0.3,10.0.0.7,28,28,0,0,2.16975e+06,0.00977692
977,10.0.0.7,10.0.0.3,14,14,0,0,116215,0.00279246
978,10.0.0.8,10.0.0.1,28,28,0,0,2.17983e+06,0.00652921
979,10.0.0.1,10.0.0.8,14,14,0,0,116730,0.00372838
980,10.0.0.4,10.0.0.3,29,28,1,3.44828,2.16065e+06,0.0490679
981,10.0.0.3,10.0.0.4,16,16,0,0,137695,0.0163584
982,10.0.0.1,10.0.0.6,3,3,0,0,589.733,3.95543
983,10.0.0.19,10.0.0.13,28,28,0,0,2.18007e+06,0.00562154
984,10.0.0.13,10.0.0.19,14,14,0,0,116723,0.00234018
985,10.0.0.4,10.0.0.9,27,26,1,3.7037,1.44989e+06,0.10023
986,10.0.0.9,10.0.0.4,20,20,0,0,77270.1,0.240408
987,10.0.0.18,10.0.0.10,2,2,0,0,17256.5,0.000549526
988,10.0.0.10,10.0.0.18,1,0,1,100,0,0
989,10.0.0.10,10.0.0.6,34,32,2,5.88235,122168,7.41323
990,10.0.0.6,10.0.0.10,35,31,4,11.4286,1377.09,3.28376
991,10.0.0.8,10.0.0.19,28,27,1,3.57143,1.86929e+06,0.129471
992,10.0.0.19,10.0.0.8,17,17,0,0,125065,0.0265635
993,10.0.0.18,10.0.0.1,28,28,0,0,2.17361e+06,0.0206126
994,10.0.0.1,10.0.0.18,14,14,0,0,116343,0.00333966
995,10.0.0.15,10.0.0.2,16,13,3,18.75,6728.46,4.00887
996,10.0.0.2,10.0.0.15,8,1,7,87.5,782559,0.000572481
997,10.0.0.9,10.0.0.19,26,26,0,0,641500,1.45331
998,10.0.0.19,10.0.0.9,13,13,0,0,35518,0.13475
999,10.0.0.14,10.0.0.8,28,28,0,0,2.17001e+06,0.0442631
1000,10.0.0.8,10.0.0.14,14,14,0,0,116087,0.00558643
1001,10.0.0.14,10.0.0.1,28,28,0,0,2.18196e+06,0.00719665
1002,10.0.0.1,10.0.0.14,14,14,0,0,116717,0.00234031
1003,10.0.0.19,10.0.0.1,28,28,0,0,2.17705e+06,0.00755592
1004,10.0.0.1,10.0.0.19,14,14,0,0,117095,0.0030735
1005,10.0.0.17,10.0.0.9,28,28,0,0,2.18175e+06,0.00689146
1006,10.0.0.9,10.0.0.17,14,14,0,0,116725,0.00312207
1007,10.0.0.15,10.0.0.5,24,23,1,4.16667,202996,1.19215
1008,10.0.0.6,10.0.0.1,1,1,0,0,91583.1,0.00489173
1009,10.0.0.5,10.0.0.15,20,19,1,5,12085,3.63581
1010,10.0.0.5,10.0.0.11,3,2,1,33.3333,2090.15,0.776705
1011,10.0.0.1,10.0.0.5,3,3,0,0,2606.36,0.000302133
1012,10.0.0.5,10.0.0.1,1,1,0,0,986.702,0.454038
1013,10.0.0.3,10.0.0.18,27,26,1,3.7037,643441,0.46707
1014,10.0.0.18,10.0.0.3,21,19,2,9.52381,10973.4,2.9123
1015,10.0.0.11,10.0.0.5,1,1,0,0,52773.2,0.00848916
1016,10.0.0.19,10.0.0.18,8,8,0,0,389745,0.0022103
1017,10.0.0.18,10.0.0.19,4,4,0,0,34111.6,0.0413601
1018,10.0.0.15,10.0.0.3,28,28,0,0,2.10213e+06,0.0101375
1019,10.0.0.3,10.0.0.15,15,15,0,0,120994,0.00691336
1020,10.0.0.17,10.0.0.19,24,23,1,4.16667,137928,6.25111
1021,10.0.0.19,10.0.0.17,24,19,5,20.8333,2912.74,0.551352
1022,10.0.0.20,10.0.0.19,28,28,0,0,2.17749e+06,0.0144619
1023,10.0.0.19,10.0.0.20,14,14,0,0,116736,0.00259299
1024,10.0.0.8,10.0.0.18,30,27,3,10,68259,3.4514
1025,10.0.0.18,10.0.0.8,23,22,1,4.34783,6286.38,1.25562
1026,10.0.0.19,10.0.0.9,3,2,1,33.3333,10297.6,0.117779
1027,10.0.0.9,10.0.0.19,1,1,0,0,410605,0.00109107
1028,10.0.0.8,10.0.0.12,2,2,0,0,5177.02,0.283755
1029,10.0.0.3,10.0.0.6,30,16,14,46.6667,11241.3,3.91255
1030,10.0.0.6,10.0.0.3,14,11,3,21.4286,960.817,0.473278
1031,10.0.0.12,10.0.0.8,1,0,1,100,0,0
1032,10.0.0.7,10.0.0.16,28,28,0,0,2.18177e+06,0.00719555
1033,10.0.0.16,10.0.0.7,14,14,0,0,116739,0.00263524
1034,10.0.0.1,10.0.0.5,28,28,0,0,2.18053e+06,0.00574677
1035,10.0.0.5,10.0.0.1,14,14,0,0,116734,0.0031217
1036,10.0.0.19,10.0.0.6,28,28,0,0,2.17761e+06,0.00614019
1037,10.0.0.6,10.0.0.19,14,14,0,0,116568,0.002343
1038,10.0.0.17,10.0.0.9,28,28,0,0,2.17942e+06,0.00639665
1039,10.0.0.9,10.0.0.17,14,14,0,0,116744,0.0029452
1040,10.0.0.20,10.0.0.2,28,28,0,0,2.17971e+06,0.0746544
1041,10.0.0.2,10.0.0.20,14,14,0,0,116706,0.00567482
1042,10.0.0.17,10.0.0.2,2,1,1,50,7947.28,0.00234496
1043,10.0.0.1,10.0.0.17,28,28,0,0,1.66518e+06,0.102208
1044,10.0.0.17,10.0.0.1,19,18,1,5.26316,116009,0.187032
1045,10.0.0.11,10.0.0.3,28,28,0,0,2.15402e+06,0.00995084
1046,10.0.0.3,10.0.0.11,14,14,0,0,115391,0.00318695
1047,10.0.0.17,10.0.0.7,28,28,0,0,2.17022e+06,0.0951048
1048,10.0.0.7,10.0.0.17,14,14,0,0,116347,0.0205628
1049,10.0.0.15,10.0.0.16,28,28,0,0,2.18216e+06,0.0068828
1050,10.0.0.16,10.0.0.15,14,14,0,0,116740,0.00344005
1051,10.0.0.13,10.0.0.6,28,28,0,0,2.17808e+06,0.00654091
1052,10.0.0.6,10.0.0.13,14,14,0,0,117391,0.00234158
1053,10.0.0.13,10.0.0.7,2,2,0,0,16548.4,0.00227721
