# 实时计算弹簧避障航线 (由前端地图驱动)
# Format: time, nodeId, x, y, z
111.944,0,-9.000,0.011,0.000
112.090,5,-9.000,0.073,0.030
112.109,8,-9.000,0.092,0.020
112.186,1,-9.000,0.026,-0.000
112.282,6,-9.000,0.094,0.020
112.325,14,-9.000,1.047,0.040
112.547,13,-9.000,1.067,0.050
112.605,7,-9.000,0.101,0.020
112.954,11,-9.000,1.022,0.030
113.035,2,-9.000,0.074,0.020
113.116,12,-9.000,0.972,0.010
113.129,9,7.150,0.164,0.010
113.222,10,-9.000,0.873,0.020
113.248,4,-9.000,0.049,0.010
113.444,0,-9.000,0.011,0.000
113.590,5,-9.000,0.073,0.030
113.609,8,-9.000,0.093,0.020
113.686,1,-9.000,0.026,-0.010
113.782,6,-9.000,0.094,0.020
113.825,14,-9.000,1.047,0.040
114.047,13,-9.000,1.068,0.040
114.105,7,-9.000,0.100,0.020
114.454,11,-9.000,1.020,0.030
114.535,2,-9.000,0.074,0.020
114.616,12,-9.000,0.978,0.020
114.629,9,8.100,0.153,0.020
114.722,10,-9.000,0.892,0.020
114.748,4,-9.000,0.049,0.010
114.944,0,-9.000,0.011,0.000
115.090,5,-9.000,0.073,0.020
115.109,8,-9.000,0.094,0.020
115.186,1,-9.000,0.026,-0.010
115.282,6,-9.000,0.095,0.010
115.325,14,-9.000,1.047,0.040
115.547,13,-9.000,1.069,0.040
115.605,7,-9.000,0.099,0.020
115.954,11,-9.000,1.019,0.020
116.035,2,-9.000,0.074,0.020
116.116,12,-9.000,0.984,0.020
116.129,9,9.050,0.146,0.010
116.222,10,-9.000,0.909,0.020
116.248,4,-9.000,0.050,0.010
116.444,0,-9.000,0.011,0.010
116.590,5,-9.000,0.073,0.020
116.609,8,-9.000,0.095,0.010
116.686,1,-9.000,0.026,-0.010
116.780,6,-9.000,0.095,0.020
116.825,14,-9.000,1.047,0.030
117.045,13,-9.000,1.069,0.040
117.105,7,-9.000,0.099,0.020
117.454,11,-9.000,1.018,0.020
117.535,2,-9.000,0.074,0.020
117.616,12,-9.000,0.990,0.020
117.629,9,10.000,0.141,0.020
117.722,10,-9.000,0.925,0.030
117.748,4,-9.000,0.050,0.010
117.944,0,-9.000,0.010,0.010
118.090,5,-9.000,0.073,0.020
118.109,8,-9.000,0.096,0.020
118.186,1,-9.000,0.027,-0.010
118.282,6,-9.000,0.095,0.010
118.325,14,-9.000,1.047,0.030
118.547,13,-9.000,1.070,0.040
118.605,7,-9.000,0.098,0.020
118.954,11,-9.000,1.017,0.030
119.035,2,-9.000,0.074,0.020
119.116,12,-9.000,0.995,0.020
119.129,9,10.000,0.139,0.030
119.222,10,-9.000,0.938,0.020
119.248,4,-9.000,0.050,0.020
119.444,0,-9.000,0.010,0.010
119.590,5,-9.000,0.073,0.030
119.609,8,-9.000,0.096,0.020
119.686,1,-9.000,0.027,-0.010
119.780,6,-9.000,0.095,0.020
119.824,14,-9.000,1.047,0.030
120.047,13,-9.000,1.070,0.040
120.105,7,-9.000,0.098,0.030
120.454,11,-9.000,1.017,0.030
120.535,2,-9.000,0.074,0.020
120.616,12,-9.000,0.999,0.020
120.629,9,10.000,0.139,0.030
120.722,10,-9.000,0.950,0.040
120.748,4,-9.000,0.050,0.020
120.944,0,-9.000,0.010,0.020
121.090,5,-9.000,0.073,0.030
121.109,8,-9.000,0.096,0.020
121.186,1,-9.000,0.027,-0.000
121.282,6,-9.000,0.095,0.020
121.324,14,-9.000,1.048,0.040
121.547,13,-9.000,1.071,0.050
121.605,7,-9.000,0.098,0.030
121.954,11,-9.000,1.016,0.040
122.035,2,-9.000,0.074,0.020
122.116,12,-9.000,1.003,0.030
122.129,9,10.000,0.139,0.030
122.222,10,-9.000,0.960,0.050
122.248,4,-9.000,0.050,0.010
122.444,0,-9.000,0.010,0.010
122.590,5,-9.000,0.073,0.030
122.609,8,-9.000,0.096,0.020
122.686,1,-9.000,0.027,-0.000
122.782,6,-9.000,0.095,0.020
122.824,14,-9.000,1.048,0.040
123.047,13,-9.000,1.071,0.050
123.105,7,-9.000,0.098,0.030
123.454,11,-9.000,1.016,0.040
123.535,2,-9.000,0.074,0.020
123.616,12,-9.000,1.006,0.030
123.629,9,10.000,0.139,0.030
123.722,10,-9.000,0.969,0.030
123.748,4,-9.000,0.050,0.010
123.944,0,-9.000,0.010,0.010
124.090,5,-9.000,0.073,0.020
124.109,8,-9.000,0.097,0.020
124.186,1,-9.000,0.027,-0.010
124.282,6,-9.000,0.096,0.020
124.324,14,-9.000,1.048,0.040
124.547,13,-9.000,1.072,0.030
124.605,7,-9.000,0.098,0.020
124.954,11,-9.000,1.016,0.040
125.035,2,-9.000,0.074,0.020
125.116,12,-9.000,1.009,0.030
125.129,9,10.000,0.139,0.020
125.222,10,-9.000,0.976,0.030
125.248,4,-9.000,0.051,0.010
125.444,0,-9.000,0.010,0.000
125.590,5,-9.000,0.073,0.020
125.609,8,-9.000,0.097,0.020
125.686,1,-9.000,0.027,-0.010
125.780,6,-9.000,0.096,0.020
125.824,14,-9.000,1.048,0.030
126.047,13,-9.000,1.072,0.040
126.105,7,-9.000,0.098,0.020
126.454,11,-9.000,1.016,0.040
126.536,2,-9.000,0.074,0.020
