# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 2109.9x1693.8 米
71.48 109.98 729.73 741.84 0.0 24.5
99.96 129.31 781.27 796.12 0.0 42.0
101.64 120.2 809.41 840.1 0.0 24.5
120.96 146.06 821.55 838.34 0.0 38.5
10.5 74.29 1577.05 1638.02 0.0 38.5
75.34 138.45 1545.96 1582.2 0.0 24.5
67.92 127.2 1621.87 1643.28 0.0 17.5
258.63 265.48 1621.88 1643.21 0.0 31.5
388.92 427.0 1511.31 1569.89 0.0 31.5
382.26 415.43 1488.34 1505.78 0.0 17.5
282.57 293.91 1252.29 1305.02 0.0 24.5
282.2 292.9 1226.72 1245.33 0.0 21.0
144.83 162.52 1036.35 1105.0 0.0 42.0
215.22 226.46 1469.28 1486.89 0.0 17.5
177.91 187.64 1442.03 1461.6 0.0 21.0
216.52 226.69 1441.32 1461.14 0.0 28.0
176.76 228.51 1425.2 1436.42 0.0 35.0
808.24 815.62 1122.98 1135.29 0.0 42.0
79.72 124.7 1657.68 1664.95 0.0 10.5
43.39 81.43 1642.49 1650.01 0.0 31.5
827.27 835.89 841.79 860.9 0.0 35.0
827.59 835.01 835.2 841.88 0.0 24.5
834.87 847.41 833.65 841.98 0.0 21.0
818.7 833.22 862.65 878.04 0.0 24.5
819.69 827.9 829.1 847.35 0.0 21.0
159.53 186.78 937.81 948.12 0.0 31.5
839.64 849.92 724.48 732.04 0.0 38.5
852.2 860.53 711.58 731.64 0.0 14.0
842.85 851.41 706.49 713.27 0.0 24.5
833.24 841.21 707.7 719.19 0.0 21.0
834.19 846.49 861.93 867.39 0.0 17.5
847.07 855.13 837.45 863.48 0.0 31.5
687.33 704.38 1386.02 1525.7 0.0 42.0
58.93 74.6 1518.33 1533.22 0.0 38.5
700.5 757.28 232.84 253.25 0.0 42.0
703.05 759.83 196.8 217.2 0.0 28.0
706.1 762.89 159.06 179.46 0.0 38.5
705.09 761.87 124.03 144.43 0.0 31.5
797.61 804.93 1369.29 1377.12 0.0 24.5
824.7 832.23 1369.37 1377.52 0.0 35.0
825.63 832.08 1377.41 1385.97 0.0 21.0
