# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 876.4x1680.0 米
708.98 716.95 1305.37 1315.94 0.0 9.99
699.61 742.48 1483.84 1493.82 0.0 9.99
827.17 835.98 54.42 79.17 0.0 9.99
761.12 813.0 53.6 78.29 0.0 9.99
639.12 648.73 214.06 229.02 0.0 9.99
642.98 652.09 197.07 214.38 0.0 9.99
641.39 678.92 161.5 194.51 0.0 9.99
644.22 664.11 151.71 159.4 0.0 9.99
643.73 652.81 125.33 142.13 0.0 9.99
644.13 654.66 115.38 123.74 0.0 9.99
642.69 666.51 99.99 110.74 0.0 9.99
671.72 680.45 198.25 216.77 0.0 9.99
649.72 672.36 215.02 232.86 0.0 9.99
365.22 387.92 0.0 7.98 0.0 9.99
562.61 568.64 1271.01 1304.83 0.0 9.99
594.24 619.57 1290.98 1317.29 0.0 9.99
507.56 521.19 1256.42 1269.43 0.0 9.99
694.66 719.02 1372.36 1381.37 0.0 9.99
695.14 703.77 1382.92 1389.18 0.0 9.99
693.74 705.06 1366.88 1371.91 0.0 9.99
706.87 721.3 1363.07 1369.12 0.0 9.99
726.15 749.71 1423.6 1433.12 0.0 9.99
753.83 763.08 1422.71 1433.26 0.0 9.99
746.9 767.19 1448.07 1454.46 0.0 9.99
721.31 763.23 1435.92 1443.01 0.0 9.99
696.88 708.1 1430.99 1439.81 0.0 9.99
698.46 728.32 1443.69 1465.87 0.0 9.99
699.5 704.46 1474.58 1484.61 0.0 9.99
698.34 727.89 1467.66 1472.01 0.0 9.99
698.62 703.84 1494.46 1518.65 0.0 9.99
699.92 703.46 1519.61 1531.41 0.0 9.99
266.21 291.3 694.32 730.68 0.0 9.99
241.81 263.04 699.25 719.93 0.0 9.99
286.87 315.05 683.18 700.57 0.0 9.99
282.12 305.55 664.25 682.28 0.0 9.99
311.4 324.63 670.79 682.07 0.0 9.99
260.59 279.02 594.26 607.2 0.0 9.99
358.75 380.65 564.53 581.1 0.0 9.99
355.77 381.83 615.69 632.21 0.0 9.99
347.52 368.02 586.9 600.5 0.0 9.99
270.39 296.5 632.27 649.92 0.0 9.99
298.87 312.87 642.66 662.3 0.0 9.99
290.43 302.69 614.35 629.79 0.0 9.99
304.53 330.49 621.76 637.72 0.0 9.99
314.54 327.5 604.48 622.67 0.0 9.99
324.37 346.78 593.12 608.72 0.0 9.99
298.29 322.3 592.73 609.25 0.0 9.99
284.33 298.48 593.41 613.17 0.0 9.99
339.27 359.21 646.12 660.41 0.0 9.99
199.71 216.45 631.05 641.72 0.0 9.99
247.54 267.3 609.57 640.89 0.0 9.99
253.53 268.37 642.93 657.71 0.0 9.99
174.58 190.48 736.52 763.22 0.0 9.99
814.42 823.87 740.29 770.84 0.0 9.99
123.1 155.1 1619.05 1639.27 0.0 9.99
154.85 212.64 1607.87 1627.56 0.0 9.99
318.59 341.47 1498.38 1511.21 0.0 9.99
168.94 217.12 1453.32 1506.1 0.0 9.99
167.67 216.59 1506.3 1535.56 0.0 9.99
157.85 215.54 1536.69 1552.97 0.0 9.99
219.63 228.55 1602.43 1628.3 0.0 9.99
385.94 423.63 1561.03 1630.28 0.0 9.99
275.62 334.71 1314.24 1363.93 0.0 9.99
60.0 70.54 1413.04 1443.96 0.0 9.99
67.25 120.63 1574.34 1585.18 0.0 9.99
63.59 74.27 1590.32 1607.85 0.0 9.99
109.93 120.62 1592.85 1608.31 0.0 9.99
0.0 59.88 1627.28 1646.99 0.0 9.99
387.75 394.47 580.83 586.79 0.0 9.99
396.98 414.36 545.82 578.56 0.0 9.99
459.73 480.16 520.36 553.42 0.0 9.99
387.84 400.62 525.9 536.93 0.0 9.99
95.56 105.36 698.32 712.61 0.0 9.99
64.7 103.2 715.91 728.02 0.0 9.99
93.17 122.52 767.45 782.3 0.0 9.99
94.86 113.41 795.59 826.28 0.0 9.99
114.17 139.27 807.72 824.52 0.0 9.99
3.72 67.5 1563.23 1624.2 0.0 9.99
68.55 131.66 1532.13 1568.38 0.0 9.99
61.14 120.41 1608.04 1629.46 0.0 9.99
251.84 258.69 1608.05 1629.38 0.0 9.99
382.14 420.21 1497.49 1556.07 0.0 9.99
375.48 408.65 1474.52 1491.96 0.0 9.99
275.78 287.12 1238.46 1291.19 0.0 9.99
275.42 286.11 1212.89 1231.51 0.0 9.99
138.04 155.73 1022.53 1091.18 0.0 9.99
208.43 219.68 1455.46 1473.07 0.0 9.99
171.12 180.85 1428.21 1447.78 0.0 9.99
209.73 219.9 1427.49 1447.32 0.0 9.99
169.98 221.73 1411.38 1422.6 0.0 9.99
801.45 808.83 1109.15 1121.47 0.0 9.99
72.94 117.91 1643.85 1651.12 0.0 9.99
36.6 74.65 1628.67 1636.18 0.0 9.99
820.49 829.1 827.97 847.07 0.0 9.99
820.8 828.22 821.38 828.06 0.0 9.99
828.08 840.63 819.82 828.16 0.0 9.99
811.91 826.44 848.82 864.22 0.0 9.99
812.9 821.11 815.28 833.53 0.0 9.99
152.75 179.99 923.98 934.29 0.0 9.99
832.85 843.14 710.65 718.22 0.0 9.99
845.42 853.74 697.76 717.82 0.0 9.99
836.07 844.62 692.66 699.44 0.0 9.99
826.45 834.42 693.88 705.36 0.0 9.99
827.4 839.7 848.11 853.56 0.0 9.99
840.29 848.35 823.63 849.66 0.0 9.99
680.54 697.59 1372.2 1511.87 0.0 9.99
52.15 67.81 1504.51 1519.4 0.0 9.99
693.71 750.49 219.02 239.43 0.0 9.99
696.26 753.04 182.98 203.38 0.0 9.99
699.32 756.11 145.24 165.63 0.0 9.99
698.3 755.08 110.21 130.61 0.0 9.99
790.82 798.14 1355.47 1363.3 0.0 9.99
817.92 825.45 1355.55 1363.7 0.0 9.99
818.85 825.29 1363.59 1372.15 0.0 9.99
331.47 345.05 352.24 361.03 0.0 9.99
362.27 372.78 289.61 297.13 0.0 6.66
310.54 322.76 288.61 296.42 0.0 9.99
277.0 299.66 310.88 331.82 0.0 9.99
298.94 307.21 308.17 317.44 0.0 9.99
293.42 304.11 340.03 348.07 0.0 9.99
293.99 304.39 325.03 332.21 0.0 9.99
376.18 385.64 337.06 342.93 0.0 9.99
376.62 387.11 322.18 329.38 0.0 9.99
420.89 428.8 352.49 360.62 0.0 9.99
654.56 666.36 337.31 358.15 0.0 9.99
227.1 297.34 980.19 1085.81 0.0 9.99
313.93 340.14 654.42 670.17 0.0 9.99
325.36 338.72 632.73 653.89 0.0 9.99
265.19 278.7 655.53 674.84 0.0 9.99
369.32 486.2 505.51 614.52 0.0 9.99
694.72 774.73 857.63 879.01 0.0 9.99
692.93 772.95 892.28 913.68 0.0 9.99
692.69 772.71 927.1 948.49 0.0 9.99
665.29 685.96 884.48 945.14 0.0 9.99
659.96 680.5 820.68 875.35 0.0 9.99
25.67 121.45 843.7 927.6 0.0 9.99
683.74 715.87 1163.07 1201.33 0.0 9.99
680.11 712.4 1106.57 1141.84 0.0 9.99
720.99 780.53 1063.75 1098.09 0.0 9.99
804.52 841.39 1016.85 1048.8 0.0 9.99
787.88 823.39 1398.95 1459.23 0.0 9.99
130.14 200.18 1303.33 1350.07 0.0 6.66
622.38 671.16 533.93 572.43 0.0 9.99
623.58 671.37 573.38 611.29 0.0 9.99
630.76 679.59 613.04 651.92 0.0 9.99
637.53 685.25 652.7 691.43 0.0 9.99
641.08 690.53 691.63 731.73 0.0 9.99
645.5 694.54 731.94 770.61 0.0 9.99
731.81 771.18 721.82 759.62 0.0 9.99
698.1 737.17 680.52 718.61 0.0 9.99
740.62 778.47 683.8 721.54 0.0 9.99
700.71 738.94 642.73 680.46 0.0 9.99
