time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput,uav15_pdr,uav15_delay,uav15_throughput,uav16_pdr,uav16_delay,uav16_throughput,uav17_pdr,uav17_delay,uav17_throughput,uav18_pdr,uav18_delay,uav18_throughput,uav19_pdr,uav19_delay,uav19_throughput,uav20_pdr,uav20_delay,uav20_throughput,uav21_pdr,uav21_delay,uav21_throughput,uav22_pdr,uav22_delay,uav22_throughput,uav23_pdr,uav23_delay,uav23_throughput,uav24_pdr,uav24_delay,uav24_throughput,uav25_pdr,uav25_delay,uav25_throughput,uav26_pdr,uav26_delay,uav26_throughput,uav27_pdr,uav27_delay,uav27_throughput,uav28_pdr,uav28_delay,uav28_throughput,uav29_pdr,uav29_delay,uav29_throughput
21,0.5,0.00261209,97785.9,0,0,0,0,0,0,1,0.0052346,192366,1,0.00446558,191564,0.995798,0.00469085,189961,1,0.00446166,189160,1,0.00282743,188358,1,0.0031299,187557,1,0.00566377,186755,0.5,0.00161222,92576,0.5,0.00137628,92175.2,1,0.00494419,183549,0.5,0.00163174,91373.7,0.5,0.00187651,90973,1,0.00343001,180343,0.5,0.000775654,89770.7,0.5,0.000920056,89369.9,1,0.00396903,177938,1,0.00292181,176335,0.922374,0.0264009,161908,0.949541,0.0182914,165915,1,0.00319994,173931,1,0.00391812,173129,0.448598,0.0159631,76946.3,0,0,0,0,0,0,0.5,0.00100314,84560.8,0,0,0,0,0,0
22,0.5,0.00260005,97931.6,0,0,0,0,0,0,1,0.00527864,192803,1,0.00446917,192038,1,0.00469053,191273,0.995984,0.00448519,189743,1,0.00282803,188977,1,0.00312884,188212,1,0.00563995,187447,0.5,0.00162294,93341.1,0.5,0.00138854,92576,1,0.00493716,184387,0.5,0.00162636,91810.9,0.5,0.00190548,91428.4,0.997899,0.00340624,181709,0.5,0.000774622,90280.7,0.5,0.000917085,89898.2,1,0.00395101,179031,1,0.0029227,178266,0.926407,0.0249477,163729,0.952174,0.0173932,167555,1,0.00319955,175206,1,0.00386023,174441,0.451542,0.0150131,78421.8,0,0,0,0,0,0,0.5,0.000992159,85307.6,0,0,0,0,0,0
23,0.5,0.00259097,98064.7,0,0,0,0,0,0,1,0.0052965,193202,1,0.00447437,192470,1,0.00469269,191738,1,0.00447618,191007,0.996154,0.0028286,189543,1,0.0031336,188811,1,0.00562203,188079,0.5,0.00161802,93673.7,0.5,0.00139073,93307.8,1,0.00493758,185152,0.5,0.00164153,92210.1,0.5,0.00190469,91844.2,1,0.00340837,182957,0.5,0.000773615,91112.3,0.5,0.000920371,90380.5,1,0.00397492,180029,1,0.00292404,179297,0.930328,0.023569,166125,0.954545,0.0166253,169052,1,0.00318609,176370,1,0.00390072,175638,0.453975,0.0142247,79403.1,0,0,0,0,0,0,0.5,0.000992435,85989.6,0,0,0,0,0,0
24,0.5,0.0025704,98186.7,0,0,0,0,0,0,1,0.00530907,194269,1,0.00447614,192867,1,0.00468978,192165,1,0.00449168,191464,1,0.00282874,190763,1,0.00312797,189360,1,0.00560985,188659,0.5,0.00160579,93978.7,0.5,0.00139174,93628,0.99812,0.00491411,186204,0.5,0.00163361,92576,0.5,0.00187868,92225.3,1,0.00339793,183749,0.5,0.000772775,91524,0.498077,0.000913872,90822.7,1,0.00396051,180944,1,0.00291854,180243,0.933594,0.0224425,167619,0.956863,0.0158923,171125,1,0.00318032,177437,1,0.00389278,176736,0.456175,0.0135189,80302.7,0,0,0,0,0,0,0.5,0.000980921,86614.7,0,0,0,0,0,0
25,0.5,0.00256408,98298.9,0,0,0,0,0,0,1,0.00531365,194578,0.998264,0.00448179,193568,1,0.00472099,192558,1,0.00448475,191885,1,0.00282964,191212,1,0.0031292,190538,1,0.00560319,189192,0.5,0.0015951,94259.2,0.5,0.00139232,93922.6,1,0.00491038,187172,0.5,0.00161829,93249.3,0.5,0.00187204,92576,1,0.00339913,184479,0.5,0.000772009,91902.7,0.5,0.000908354,91566.1,1,0.00395696,181786,1,0.0029145,181112,0.936567,0.0214304,168993,0.958801,0.0152895,172360,1,0.00318698,179092,1,0.00386919,177746,0.458175,0.0128834,81130.2,0,0,0,0,0,0,0.498077,0.000970474,87189.8,0,0,0,0,0,0
26,0.5,0.0025409,98726.2,0,0,0,0,0,0,1,0.00530474,194863,1,0.00447717,194215,1,0.0047413,193568,1,0.0044756,192273,1,0.00283094,191626,1,0.00313215,190978,1,0.0056088,190331,0.5,0.0015998,94518.2,0.5,0.001393,94194.5,1,0.00492854,187742,0.5,0.00161166,93547.1,0.5,0.0018806,93223.4,1,0.0034028,185152,0.5,0.000771307,92252.3,0.5,0.000906392,91928.6,1,0.00393984,183210,1,0.00291216,181915,0.939286,0.0205231,170262,0.960573,0.0147274,173499,1,0.0031896,179973,1,0.00385358,179326,0.46,0.0123081,81894.2,0,0,0,0,0,0,0.5,0.000971047,88044.3,0,0,0,0,0,0
27,0.5,0.00253463,98810.1,0,0,0,0,0,0,1,0.00533053,195127,1,0.00448791,194503,1,0.00475179,193880,0.998387,0.00447667,192945,1,0.00283115,192009,1,0.00315064,191386,1,0.00565193,190763,0.5,0.0016036,95069.6,0.5,0.00139955,94446.2,1,0.00499923,188269,0.5,0.00162455,93822.8,0.5,0.00188019,93511.1,1,0.00340474,186399,0.5,0.000770662,92576,0.5,0.00090775,92264.3,1,0.00396917,183905,1,0.00290829,183282,0.941781,0.0196959,171437,0.962199,0.0142068,174554,1,0.0031893,180788,1,0.00385944,180165,0.461806,0.0117435,82913.2,0,0,0,0,0,0,0.5,0.000976658,88523.9,0,0,0,0,0,0
28,0.5,0.00252128,98888,0,0,0,0,0,0,1,0.00534515,195371,1,0.00447798,194770,1,0.00475784,194169,1,0.00448943,193568,0.998442,0.00283156,192666,1,0.00316628,191765,1,0.00563262,191163,0.5,0.00159425,95281.1,0.5,0.00141203,94980.6,1,0.00503382,188759,0.5,0.00163113,94078.9,0.5,0.00185901,93778.3,1,0.00340093,186955,0.5,0.000770019,93177.1,0.5,0.00090455,92576,1,0.00396924,184551,1,0.00290562,183950,0.944262,0.0188817,173129,0.963696,0.0137283,175534,1,0.00318133,181545,1,0.00385444,180944,0.463333,0.0112692,83558.9,0,0,0,0,0,0,0.5,0.000967689,88969.1,0,0,0,0,0,0
29,0.5,0.0024991,98960.6,0,0,0,0,0,0,1,0.00534827,196180,1,0.004479,195019,1,0.00474862,194439,1,0.00448913,193858,1,0.00283173,193278,0.996988,0.00316011,192117,1,0.00562616,191537,0.5,0.00158723,95478.1,0.5,0.00141731,95187.9,1,0.00505495,189795,0.5,0.00162967,94317.2,0.5,0.00185157,94027,1,0.00340286,187474,0.5,0.000769472,93446.6,0.498442,0.000902004,92866.2,1,0.00395125,185152,1,0.00290399,184572,0.946372,0.0182023,174124,0.96519,0.0132724,177026,1,0.00317137,182250,1,0.00382839,181670,0.464744,0.0108341,84160,0,0,0,0,0,0,0.5,0.000959419,89383.7,0,0,0,0,0,0
30,0.498588,0.00248719,99028.3,0,0,0,0,0,0,1,0.00535644,196373,1,0.00447637,195812,1,0.00476396,194690,1,0.00447921,194129,1,0.00283214,193568,1,0.00317334,193007,0.997085,0.00560524,191885,0.5,0.00158639,95661.9,0.5,0.00142008,95381.3,1,0.00506379,190202,0.5,0.0016292,94820.3,0.5,0.00184641,94259.2,1,0.00342924,187957,0.5,0.000768965,93698.1,0.5,0.000925245,93417.6,0.998494,0.0039602,185994,1,0.00289436,185152,0.948328,0.0175723,175053,0.966463,0.0128931,177858,1,0.00317193,183469,1,0.0038051,182347,0.466049,0.0104337,84721.1,0,0,0,0,0,0,0.5,0.0009531,90051.2,0,0,0,0,0,0
