time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput,uav15_pdr,uav15_delay,uav15_throughput,uav16_pdr,uav16_delay,uav16_throughput,uav17_pdr,uav17_delay,uav17_throughput,uav18_pdr,uav18_delay,uav18_throughput,uav19_pdr,uav19_delay,uav19_throughput,uav20_pdr,uav20_delay,uav20_throughput,uav21_pdr,uav21_delay,uav21_throughput,uav22_pdr,uav22_delay,uav22_throughput,uav23_pdr,uav23_delay,uav23_throughput,uav24_pdr,uav24_delay,uav24_throughput,uav25_pdr,uav25_delay,uav25_throughput,uav26_pdr,uav26_delay,uav26_throughput,uav27_pdr,uav27_delay,uav27_throughput,uav28_pdr,uav28_delay,uav28_throughput,uav29_pdr,uav29_delay,uav29_throughput
21,0,0,0,1,0.00501904,193969,1,0.00463619,193167,1,0.00577846,192366,1,0.00598283,191564,0.848739,0.0525163,161908,0.741525,0.00459127,140267,1,0.00500548,188358,1,0.00588246,187557,1,0.00648719,186755,0.222944,0.00225371,41278.5,0.221739,0.00173999,40877.7,1,0.00653001,183549,0.5,0.00258618,91373.7,0.5,0.00237785,90973,0.5,0.00173507,90171.4,1,0.00470347,179541,1,0.00615704,178740,1,0.00671955,177938,1,0.00608039,176335,0.949772,0.0194579,166717,0.830275,0.0566144,145076,1,0.00778566,173931,1,0.00599098,173129,0.448598,0.0169528,76946.3,0,0,0,0,0,0,0.5,0.00257055,84560.8,0,0,0,0,0,0
22,0,0,0,1,0.00498161,195098,1,0.00459281,193568,1,0.00580811,192803,1,0.00608812,192038,0.86,0.0499079,164495,0.751004,0.00457739,143072,1,0.00497536,188977,1,0.00586764,188212,1,0.00646184,187447,0.211066,0.00225371,39402.2,0.210744,0.00173999,39019.6,1,0.0065995,184387,0.5,0.00267366,91810.9,0.5,0.00239353,91428.4,0.5,0.00176147,91045.8,1,0.00462486,180561,1,0.00603347,179796,1,0.00674188,179031,1,0.00597392,178266,0.952381,0.018565,168320,0.83913,0.0535245,147663,1,0.00761039,175206,1,0.00600795,174441,0.451542,0.0159985,78421.8,0,0,0,0,0,0,0.5,0.00253447,85307.6,0,0,0,0,0,0
23,0,0,0,1,0.00491035,195398,1,0.00454406,194666,1,0.00580947,193202,1,0.00609244,192470,0.866412,0.0476821,166125,0.766284,0.00455775,146365,0.996154,0.00493995,189543,1,0.00579358,188811,1,0.00640094,188079,0.201172,0.00225371,37689,0.2,0.00173999,37323.1,1,0.00653449,185152,0.5,0.00263535,92210.1,0.5,0.0024289,91844.2,0.5,0.00175018,91478.3,0.997992,0.00459731,181859,1,0.00598676,180761,1,0.00664396,180029,1,0.00588115,179297,0.954918,0.0177163,170515,0.847107,0.0508603,150024,1,0.00760652,176370,1,0.00600044,175638,0.453975,0.0152651,79403.1,0,0,0,0,0,0,0.5,0.00245828,85989.6,0,0,0,0,0,0
24,0,0,0,1,0.00487324,195672,1,0.00452243,194971,1,0.0057963,194269,1,0.0060882,192867,0.872263,0.0456919,167619,0.776557,0.00454717,148683,1,0.00491443,190763,1,0.00574498,189360,1,0.00638076,188659,0.192164,0.00225371,36118.7,0.191011,0.00173999,35768,0.99812,0.00653602,186204,0.5,0.00259646,92576,0.5,0.00243795,92225.3,0.5,0.00175872,91874.7,1,0.00457501,183048,0.996154,0.00597421,181645,1,0.00667864,180944,1,0.00581535,180243,0.957031,0.0170938,171827,0.854902,0.0481942,152891,1,0.00750244,177437,1,0.00596158,176736,0.456175,0.0145539,80302.7,0,0,0,0,0,0,0.5,0.00242186,86614.7,0,0,0,0,0,0
25,0,0,0,1,0.00484847,195924,1,0.0045341,195251,1,0.00580747,194578,0.998264,0.00608475,193568,0.877622,0.0439253,168993,0.785965,0.00450501,150815,1,0.00496652,191212,1,0.00573013,190538,1,0.00645609,189192,0.183929,0.00225371,34673.9,0.182796,0.00173999,34337.3,1,0.00661476,187172,0.5,0.00257741,93249.3,0.5,0.00245888,92576,0.5,0.00177867,92239.4,1,0.00456166,183805,1,0.00593027,183132,1,0.00660631,181786,1,0.00578206,181112,0.958955,0.0164527,173033,0.861423,0.0461336,154854,1,0.00737869,179092,1,0.00590694,177746,0.458175,0.0139201,81130.2,0,0,0,0,0,0,0.498077,0.00239802,87189.8,0,0,0,0,0,0
26,0,0,0,1,0.00482165,196158,1,0.00451164,195510,1,0.00578572,194863,1,0.00608442,194215,0.881271,0.0422592,170586,0.794613,0.0044782,152783,1,0.0049504,191626,1,0.0057172,190978,1,0.00643586,190331,0.17637,0.00225371,33340.3,0.175258,0.00173999,33016.6,1,0.00663659,187742,0.5,0.00256637,93547.1,0.5,0.00245253,93223.4,0.5,0.00176251,92576,1,0.00451013,184505,1,0.00587027,183857,1,0.00651627,183210,1,0.00570306,181915,0.960714,0.0158204,174146,0.867384,0.0441752,156667,1,0.00729671,179973,1,0.00588971,179326,0.46,0.0133305,81894.2,0,0,0,0,0,0,0.5,0.00239583,88044.3,0,0,0,0,0,0
27,0,0,0,1,0.00478453,196997,1,0.00448899,195750,1,0.00584533,195127,1,0.00607059,194503,0.88746,0.0407089,172060,0.8,0.00447792,154605,1,0.00495658,192009,1,0.00580538,191386,1,0.00641737,190763,0.168852,0.00225371,32105.5,0.168317,0.00173999,31793.8,1,0.00671207,188269,0.5,0.00254087,93822.8,0.5,0.00245138,93511.1,0.498328,0.00175111,92887.7,1,0.00448434,185152,1,0.00582834,184529,1,0.00656829,183905,1,0.00565568,183282,0.962329,0.0152413,175177,0.872852,0.0423723,158345,1,0.0072694,180788,1,0.00594843,180165,0.461806,0.0127324,82913.2,0,0,0,0,0,0,0.5,0.00240111,88523.9,0,0,0,0,0,0
28,0,0,0,1,0.00478078,197175,1,0.00444926,196574,1,0.00583785,195371,1,0.00609166,194770,0.891641,0.0393458,173129,0.810559,0.00449458,156898,0.996885,0.00495698,192366,1,0.00594413,191765,1,0.00639502,191163,0.162461,0.00225371,30958.9,0.161392,0.00173999,30658.3,1,0.00669863,188759,0.5,0.0025233,94078.9,0.5,0.00246455,93778.3,0.5,0.001763,93477.7,1,0.00446407,186354,1,0.00583276,185152,1,0.00657289,184551,1,0.00562866,183950,0.963934,0.0147228,176736,0.877888,0.0408407,159904,1,0.00727547,181545,1,0.00602407,180944,0.463333,0.0122509,83558.9,0,0,0,0,0,0,0.5,0.00239023,88969.1,0,0,0,0,0,0
29,0,0,0,1,0.00476601,197341,1,0.00443168,196760,1,0.00584791,196180,1,0.00606394,195019,0.895522,0.0380631,174124,0.817365,0.0044948,158453,1,0.00493306,193278,0.998494,0.00592012,192407,1,0.00636746,191537,0.156535,0.00225371,29891.3,0.155488,0.00173999,29601.1,1,0.00670707,189795,0.5,0.00253277,94317.2,0.5,0.00245427,94027,0.5,0.00177043,93736.8,1,0.00446019,186893,0.998442,0.00578616,186023,1,0.00665104,185152,1,0.0055692,184572,0.9653,0.0142725,177607,0.882911,0.0392232,161935,1,0.00718891,182250,1,0.00603767,181670,0.464744,0.0118064,84160,0,0,0,0,0,0,0.5,0.00239728,89383.7,0,0,0,0,0,0
30,0,0,0,1,0.00473193,197495,1,0.00441944,196934,1,0.00582236,196373,1,0.00603829,195812,0.899135,0.0368873,175053,0.823699,0.00447719,159904,1,0.00491377,193568,1,0.00590395,193007,0.997085,0.00632655,191885,0.151026,0.00225371,28894.9,0.15,0.00173999,28614.4,1,0.00669207,190202,0.498521,0.00251157,94539.7,0.5,0.00243898,94259.2,0.5,0.00175894,93978.7,1,0.00444208,187396,1,0.00578884,186835,0.996988,0.0065901,185713,1,0.0055033,185152,0.966565,0.0138628,178419,0.887195,0.0378997,163270,0.998471,0.00711339,183188,1,0.00604612,182347,0.466049,0.0113772,84721.1,0,0,0,0,0,0,0.5,0.00236119,90051.2,0,0,0,0,0,0
