time,num_nodes,num_links,avg_degree,network_density
62.8,15,29,3.86667,0.27619
63,15,29,3.86667,0.27619
63.2,15,29,3.86667,0.27619
63.4,15,30,4,0.285714
63.6,15,30,4,0.285714
63.8,15,30,4,0.285714
64,15,30,4,0.285714
64.2,15,29,3.86667,0.27619
64.4,15,27,3.6,0.257143
64.6,15,27,3.6,0.257143
64.8,15,28,3.73333,0.266667
65,15,28,3.73333,0.266667
65.2,15,28,3.73333,0.266667
65.4,15,29,3.86667,0.27619
65.6,15,29,3.86667,0.27619
65.8,15,29,3.86667,0.27619
66,15,29,3.86667,0.27619
66.2,15,29,3.86667,0.27619
66.4,15,30,4,0.285714
66.6,15,29,3.86667,0.27619
66.8,15,31,4.13333,0.295238
67,15,31,4.13333,0.295238
67.2,15,31,4.13333,0.295238
67.4,15,33,4.4,0.314286
67.6,15,33,4.4,0.314286
67.8,15,33,4.4,0.314286
68,15,33,4.4,0.314286
68.2,15,32,4.26667,0.304762
68.4,15,32,4.26667,0.304762
68.6,15,31,4.13333,0.295238
68.8,15,31,4.13333,0.295238
69,15,32,4.26667,0.304762
69.2,15,31,4.13333,0.295238
69.4,15,31,4.13333,0.295238
69.6,15,32,4.26667,0.304762
69.8,15,34,4.53333,0.32381
70,15,34,4.53333,0.32381
70.2,15,34,4.53333,0.32381
70.4,15,34,4.53333,0.32381
70.6,15,33,4.4,0.314286
70.8,15,33,4.4,0.314286
71,15,33,4.4,0.314286
71.2,15,33,4.4,0.314286
71.4,15,32,4.26667,0.304762
71.6,15,32,4.26667,0.304762
71.8,15,32,4.26667,0.304762
72,15,32,4.26667,0.304762
72.2,15,32,4.26667,0.304762
72.4,15,33,4.4,0.314286
72.6,15,33,4.4,0.314286
72.8,15,32,4.26667,0.304762
73,15,32,4.26667,0.304762
73.2,15,32,4.26667,0.304762
73.4,15,32,4.26667,0.304762
73.6,15,32,4.26667,0.304762
73.8,15,32,4.26667,0.304762
74,15,31,4.13333,0.295238
74.2,15,29,3.86667,0.27619
74.4,15,29,3.86667,0.27619
74.6,15,29,3.86667,0.27619
74.8,15,29,3.86667,0.27619
75,15,29,3.86667,0.27619
75.2,15,28,3.73333,0.266667
75.4,15,27,3.6,0.257143
75.6,15,27,3.6,0.257143
75.8,15,26,3.46667,0.247619
76,15,27,3.6,0.257143
76.2,15,27,3.6,0.257143
76.4,15,27,3.6,0.257143
76.6,15,27,3.6,0.257143
76.8,15,25,3.33333,0.238095
77,15,26,3.46667,0.247619
77.2,15,26,3.46667,0.247619
77.4,15,26,3.46667,0.247619
77.6,15,26,3.46667,0.247619
77.8,15,26,3.46667,0.247619
78,15,26,3.46667,0.247619
78.2,15,26,3.46667,0.247619
78.4,15,25,3.33333,0.238095
78.6,15,26,3.46667,0.247619
78.8,15,26,3.46667,0.247619
79,15,25,3.33333,0.238095
79.2,15,26,3.46667,0.247619
79.4,15,26,3.46667,0.247619
79.6,15,26,3.46667,0.247619
79.8,15,25,3.33333,0.238095
80,15,25,3.33333,0.238095
80.2,15,26,3.46667,0.247619
80.4,15,26,3.46667,0.247619
80.6,15,26,3.46667,0.247619
80.8,15,25,3.33333,0.238095
81,15,24,3.2,0.228571
81.2,15,24,3.2,0.228571
81.4,15,24,3.2,0.228571
81.6,15,24,3.2,0.228571
81.8,15,24,3.2,0.228571
82,15,24,3.2,0.228571
82.2,15,23,3.06667,0.219048
82.4,15,23,3.06667,0.219048
82.6,15,24,3.2,0.228571
82.8,15,24,3.2,0.228571
83,15,23,3.06667,0.219048
83.2,15,23,3.06667,0.219048
83.4,15,22,2.93333,0.209524
83.6,15,22,2.93333,0.209524
83.8,15,22,2.93333,0.209524
84,15,22,2.93333,0.209524
84.2,15,22,2.93333,0.209524
84.4,15,22,2.93333,0.209524
84.6,15,22,2.93333,0.209524
84.8,15,21,2.8,0.2
85,15,20,2.66667,0.190476
85.2,15,20,2.66667,0.190476
85.4,15,20,2.66667,0.190476
85.6,15,20,2.66667,0.190476
85.8,15,20,2.66667,0.190476
86,15,19,2.53333,0.180952
86.2,15,19,2.53333,0.180952
86.4,15,19,2.53333,0.180952
86.6,15,20,2.66667,0.190476
86.8,15,19,2.53333,0.180952
87,15,19,2.53333,0.180952
87.2,15,20,2.66667,0.190476
87.4,15,22,2.93333,0.209524
87.6,15,22,2.93333,0.209524
87.8,15,22,2.93333,0.209524
88,15,23,3.06667,0.219048
88.2,15,24,3.2,0.228571
88.4,15,25,3.33333,0.238095
88.6,15,26,3.46667,0.247619
88.8,15,26,3.46667,0.247619
89,15,26,3.46667,0.247619
89.2,15,25,3.33333,0.238095
89.4,15,26,3.46667,0.247619
89.6,15,26,3.46667,0.247619
89.8,15,27,3.6,0.257143
90,15,27,3.6,0.257143
90.2,15,27,3.6,0.257143
90.4,15,27,3.6,0.257143
90.6,15,27,3.6,0.257143
90.8,15,28,3.73333,0.266667
91,15,28,3.73333,0.266667
91.2,15,26,3.46667,0.247619
91.4,15,26,3.46667,0.247619
91.6,15,26,3.46667,0.247619
91.8,15,26,3.46667,0.247619
92,15,26,3.46667,0.247619
92.2,15,26,3.46667,0.247619
92.4,15,26,3.46667,0.247619
92.6,15,26,3.46667,0.247619
92.8,15,28,3.73333,0.266667
93,15,28,3.73333,0.266667
93.2,15,30,4,0.285714
93.4,15,30,4,0.285714
93.6,15,29,3.86667,0.27619
93.8,15,29,3.86667,0.27619
94,15,29,3.86667,0.27619
94.2,15,28,3.73333,0.266667
94.4,15,28,3.73333,0.266667
94.6,15,28,3.73333,0.266667
94.8,15,28,3.73333,0.266667
95,15,28,3.73333,0.266667
95.2,15,27,3.6,0.257143
95.4,15,27,3.6,0.257143
95.6,15,27,3.6,0.257143
95.8,15,25,3.33333,0.238095
96,15,25,3.33333,0.238095
96.2,15,25,3.33333,0.238095
96.4,15,24,3.2,0.228571
96.6,15,23,3.06667,0.219048
96.8,15,23,3.06667,0.219048
97,15,23,3.06667,0.219048
97.2,15,22,2.93333,0.209524
97.4,15,22,2.93333,0.209524
97.6,15,22,2.93333,0.209524
97.8,15,24,3.2,0.228571
98,15,24,3.2,0.228571
98.2,15,24,3.2,0.228571
98.4,15,25,3.33333,0.238095
98.6,15,24,3.2,0.228571
98.8,15,25,3.33333,0.238095
99,15,25,3.33333,0.238095
99.2,15,24,3.2,0.228571
99.4,15,24,3.2,0.228571
99.6,15,24,3.2,0.228571
99.8,15,24,3.2,0.228571
100,15,25,3.33333,0.238095
100.2,15,25,3.33333,0.238095
100.4,15,25,3.33333,0.238095
100.6,15,24,3.2,0.228571
100.8,15,24,3.2,0.228571
101,15,24,3.2,0.228571
101.2,15,23,3.06667,0.219048
101.4,15,23,3.06667,0.219048
101.6,15,23,3.06667,0.219048
101.8,15,23,3.06667,0.219048
102,15,23,3.06667,0.219048
102.2,15,23,3.06667,0.219048
102.4,15,23,3.06667,0.219048
102.6,15,24,3.2,0.228571
102.8,15,24,3.2,0.228571
103,15,24,3.2,0.228571
103.2,15,23,3.06667,0.219048
103.4,15,23,3.06667,0.219048
103.6,15,23,3.06667,0.219048
103.8,15,24,3.2,0.228571
104,15,24,3.2,0.228571
104.2,15,24,3.2,0.228571
104.4,15,25,3.33333,0.238095
104.6,15,26,3.46667,0.247619
104.8,15,26,3.46667,0.247619
105,15,26,3.46667,0.247619
105.2,15,26,3.46667,0.247619
105.4,15,26,3.46667,0.247619
105.6,15,25,3.33333,0.238095
105.8,15,25,3.33333,0.238095
106,15,24,3.2,0.228571
106.2,15,24,3.2,0.228571
106.4,15,24,3.2,0.228571
106.6,15,24,3.2,0.228571
106.8,15,24,3.2,0.228571
107,15,24,3.2,0.228571
107.2,15,25,3.33333,0.238095
107.4,15,25,3.33333,0.238095
107.6,15,24,3.2,0.228571
107.8,15,24,3.2,0.228571
108,15,25,3.33333,0.238095
108.2,15,25,3.33333,0.238095
108.4,15,25,3.33333,0.238095
108.6,15,25,3.33333,0.238095
108.8,15,26,3.46667,0.247619
109,15,26,3.46667,0.247619
109.2,15,27,3.6,0.257143
109.4,15,27,3.6,0.257143
109.6,15,28,3.73333,0.266667
109.8,15,29,3.86667,0.27619
110,15,29,3.86667,0.27619
110.2,15,29,3.86667,0.27619
110.4,15,30,4,0.285714
110.6,15,28,3.73333,0.266667
110.8,15,28,3.73333,0.266667
111,15,28,3.73333,0.266667
111.2,15,27,3.6,0.257143
111.4,15,26,3.46667,0.247619
111.6,15,26,3.46667,0.247619
111.8,15,26,3.46667,0.247619
112,15,26,3.46667,0.247619
112.2,15,25,3.33333,0.238095
112.4,15,25,3.33333,0.238095
112.6,15,25,3.33333,0.238095
112.8,15,26,3.46667,0.247619
113,15,26,3.46667,0.247619
113.2,15,26,3.46667,0.247619
113.4,15,27,3.6,0.257143
113.6,15,27,3.6,0.257143
113.8,15,26,3.46667,0.247619
114,15,26,3.46667,0.247619
114.2,15,25,3.33333,0.238095
114.4,15,24,3.2,0.228571
114.6,15,25,3.33333,0.238095
114.8,15,24,3.2,0.228571
115,15,24,3.2,0.228571
115.2,15,24,3.2,0.228571
115.4,15,24,3.2,0.228571
115.6,15,25,3.33333,0.238095
115.8,15,24,3.2,0.228571
116,15,29,3.86667,0.27619
116.2,15,29,3.86667,0.27619
116.4,15,29,3.86667,0.27619
116.6,15,30,4,0.285714
116.8,15,30,4,0.285714
117,15,30,4,0.285714
117.2,15,30,4,0.285714
117.4,15,30,4,0.285714
117.6,15,30,4,0.285714
117.8,15,30,4,0.285714
118,15,30,4,0.285714
118.2,15,29,3.86667,0.27619
118.4,15,30,4,0.285714
118.6,15,31,4.13333,0.295238
118.8,15,29,3.86667,0.27619
119,15,29,3.86667,0.27619
119.2,15,30,4,0.285714
119.4,15,30,4,0.285714
119.6,15,31,4.13333,0.295238
119.8,15,31,4.13333,0.295238
120,15,31,4.13333,0.295238
120.2,15,31,4.13333,0.295238
120.4,15,31,4.13333,0.295238
120.6,15,31,4.13333,0.295238
120.8,15,31,4.13333,0.295238
121,15,29,3.86667,0.27619
121.2,15,28,3.73333,0.266667
121.4,15,27,3.6,0.257143
121.6,15,28,3.73333,0.266667
121.8,15,28,3.73333,0.266667
122,15,27,3.6,0.257143
122.2,15,27,3.6,0.257143
122.4,15,27,3.6,0.257143
122.6,15,28,3.73333,0.266667
122.8,15,27,3.6,0.257143
123,15,27,3.6,0.257143
123.2,15,28,3.73333,0.266667
123.4,15,28,3.73333,0.266667
123.6,15,27,3.6,0.257143
123.8,15,26,3.46667,0.247619
124,15,26,3.46667,0.247619
124.2,15,26,3.46667,0.247619
124.4,15,25,3.33333,0.238095
124.6,15,25,3.33333,0.238095
124.8,15,26,3.46667,0.247619
125,15,26,3.46667,0.247619
125.2,15,27,3.6,0.257143
125.4,15,27,3.6,0.257143
125.6,15,27,3.6,0.257143
125.8,15,26,3.46667,0.247619
126,15,26,3.46667,0.247619
126.2,15,25,3.33333,0.238095
126.4,15,26,3.46667,0.247619
126.6,15,24,3.2,0.228571
126.8,15,24,3.2,0.228571
127,15,24,3.2,0.228571
127.2,15,24,3.2,0.228571
127.4,15,24,3.2,0.228571
127.6,15,24,3.2,0.228571
127.8,15,25,3.33333,0.238095
128,15,23,3.06667,0.219048
128.2,15,24,3.2,0.228571
128.4,15,23,3.06667,0.219048
128.6,15,23,3.06667,0.219048
128.8,15,24,3.2,0.228571
129,15,24,3.2,0.228571
129.2,15,23,3.06667,0.219048
129.4,15,22,2.93333,0.209524
129.6,15,22,2.93333,0.209524
129.8,15,21,2.8,0.2
130,15,21,2.8,0.2
130.2,15,22,2.93333,0.209524
130.4,15,21,2.8,0.2
130.6,15,20,2.66667,0.190476
130.8,15,20,2.66667,0.190476
131,15,20,2.66667,0.190476
131.2,15,21,2.8,0.2
131.4,15,21,2.8,0.2
131.6,15,21,2.8,0.2
131.8,15,21,2.8,0.2
