time,communication_mode,recovery_policy,effective_recovery_policy,action_type,executor_node_id,target_node_ids,result_state,decision_reason,scene_type,operation_mode
115.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
115.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
116.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
116.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
117.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
117.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
118.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
118.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
119.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
119.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,,executed,requested_global_recovery_applied,urban,cooperative
120.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
120.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
121.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
121.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
122.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
122.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
123.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
123.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
124.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
124.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
125.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
125.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
126.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
126.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
127.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
127.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
128.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
128.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
129.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
129.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
130.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
130.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
131.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
131.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
132.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
132.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
133.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
133.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
134.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
134.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
135.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
135.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
136.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
136.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
137.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
137.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
138.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
138.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
139.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
139.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
140.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
140.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
141.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
141.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
142.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
142.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
143.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
143.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
144.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
144.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
145.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
145.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
146.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
146.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
147.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
147.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
148.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
148.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
149.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
149.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
150.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
