time_s,nodeId,x,y,z
21,11,1.091,1.565,1.19
21,12,2.722,0.377,2.3
21,13,2.43,0.61,-6.19
21,14,3.981,1.043,0.02
22,0,-0.00534,0.011,0.01
22,1,1.002,0.022,0.0396
22,2,1.977,0.067,0.02254
22,3,2.988,0.067,0.03
22,4,4.026,0.055,-0.17
22,5,5.045,0.067,0.05
22,6,5.994,0.1,0.29
22,7,6.615,0.466,-1.21
22,8,7.714,-0.155,-3.02
22,9,1.064,6.082,-6.46
22,10,1.046,-0.366,-0.35
22,11,1.091,1.565,1.19
22,12,2.722,0.377,2.3
22,13,2.43,0.61,-6.19
22,14,3.981,1.043,0.02
23,0,-0.01134,0.011,0.01
23,1,1.002,0.0187733,0.0341333
23,2,1.97962,0.067,0.01709
23,3,2.988,0.067,0.03
23,4,4.026,0.055,-0.17
23,5,5.045,0.067,0.05
23,6,5.994,0.1,0.29
23,7,6.615,0.466,-1.21
23,8,7.714,-0.155,-3.02
23,9,1.064,6.082,-6.46
23,10,1.046,-0.366,-0.35
23,11,1.091,1.565,1.19
23,12,2.722,0.377,2.3
23,13,2.43,0.61,-6.19
23,14,3.981,1.043,0.02
24,0,-0.01734,0.011,0.01
24,1,1.002,0.0151067,0.0274667
24,2,1.98262,0.067,0.0137567
24,3,2.988,0.067,0.03
24,4,4.026,0.055,-0.17
24,5,5.045,0.067,0.05
24,6,5.994,0.1,0.29
24,7,6.615,0.466,-1.21
24,8,7.714,-0.155,-3.02
24,9,1.064,6.082,-6.46
24,10,1.046,-0.366,-0.35
24,11,1.091,1.565,1.19
24,12,2.722,0.377,2.3
24,13,2.43,0.61,-6.19
24,14,3.981,1.043,0.02
25,0,-0.00999,0.00773667,0.0129667
25,1,1.002,0.01144,0.0208
25,2,1.98562,0.067,0.0104233
25,3,2.988,0.067,0.03
25,4,4.026,0.0532877,-0.0921667
25,5,5.045,0.067,0.05
25,6,5.994,0.1,0.29
25,7,6.615,0.466,-1.21
25,8,7.714,-0.155,-3.02
25,9,1.064,6.082,-6.46
25,10,1.046,-0.366,-0.35
25,11,1.091,1.565,1.19
25,12,2.722,0.377,2.3
25,13,2.43,0.61,-6.19
25,14,3.981,1.043,0.02
26,0,-0.00099,0.00407,0.0163
26,1,1.00464,0.011,0.02
26,2,1.98862,0.0701999,0.012909
26,3,2.988,0.067,0.03
26,4,4.026,0.049621,0.0745
26,5,5.045,0.067,0.05
26,6,5.994,0.1,0.29
26,7,6.615,0.466,-1.21
26,8,7.714,-0.155,-3.02
26,9,1.064,6.082,-6.46
26,10,1.046,-0.366,-0.35
