FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
19579,10.0.0.1,10.0.0.15,14,14,0,0,946410,0.00815384
19580,10.0.0.15,10.0.0.1,7,7,0,0,67291.4,0.001169
19581,10.0.0.15,10.0.0.3,15,15,0,0,1.03769e+06,0.00284884
19582,10.0.0.3,10.0.0.15,8,8,0,0,68341.3,0.001336
19583,10.0.0.6,10.0.0.15,15,15,0,0,1.03802e+06,0.00294284
19584,10.0.0.15,10.0.0.6,8,8,0,0,68341.3,0.001336
19585,10.0.0.14,10.0.0.6,15,15,0,0,1.03737e+06,0.00296901
19586,10.0.0.6,10.0.0.14,8,8,0,0,68328.8,0.00133601
19587,10.0.0.7,10.0.0.4,15,15,0,0,1.03698e+06,0.00292684
19588,10.0.0.4,10.0.0.7,8,8,0,0,68340.7,0.00133614
19589,10.0.0.12,10.0.0.9,15,15,0,0,1.03799e+06,0.00291909
19590,10.0.0.9,10.0.0.12,8,8,0,0,68341.3,0.00133601
19591,10.0.0.8,10.0.0.5,15,15,0,0,1.03694e+06,0.00334315
19592,10.0.0.5,10.0.0.8,8,8,0,0,68908.9,0.00133601
19593,10.0.0.5,10.0.0.9,15,15,0,0,1.03832e+06,0.00288704
19594,10.0.0.9,10.0.0.5,8,8,0,0,68328.8,0.001336
19595,10.0.0.2,10.0.0.11,15,15,0,0,1.03801e+06,0.00281821
19596,10.0.0.11,10.0.0.2,8,8,0,0,68341.3,0.00133601
19597,10.0.0.12,10.0.0.7,15,15,0,0,1.0383e+06,0.0029071
19598,10.0.0.7,10.0.0.12,8,8,0,0,68341.3,0.001336
19599,10.0.0.8,10.0.0.11,15,15,0,0,1.03799e+06,0.00293727
19600,10.0.0.11,10.0.0.8,8,8,0,0,68341.3,0.00133601
19601,10.0.0.1,10.0.0.2,15,15,0,0,1.03824e+06,0.00291333
19602,10.0.0.2,10.0.0.1,8,8,0,0,68341.3,0.00133601
19603,10.0.0.6,10.0.0.7,15,15,0,0,1.03736e+06,0.00288022
19604,10.0.0.7,10.0.0.6,8,8,0,0,68341.3,0.001336
19605,10.0.0.8,10.0.0.14,15,15,0,0,1.03704e+06,0.00288339
19606,10.0.0.14,10.0.0.8,8,8,0,0,68341.3,0.00133601
19607,10.0.0.6,10.0.0.14,15,15,0,0,1.0371e+06,0.00293145
19608,10.0.0.14,10.0.0.6,8,8,0,0,68341.3,0.00133601
19609,10.0.0.7,10.0.0.6,15,15,0,0,1.03868e+06,0.00280834
19610,10.0.0.6,10.0.0.7,8,8,0,0,68341.3,0.001336
19611,10.0.0.5,10.0.0.14,15,15,0,0,1.03874e+06,0.00284751
19612,10.0.0.14,10.0.0.5,8,8,0,0,68341.3,0.00133601
19613,10.0.0.3,10.0.0.10,14,14,0,0,947104,0.0079194
19614,10.0.0.10,10.0.0.3,7,7,0,0,67153.3,0.001223
19615,10.0.0.12,10.0.0.11,15,15,0,0,1.0383e+06,0.00286258
19616,10.0.0.11,10.0.0.12,8,8,0,0,68341.3,0.00133601
19617,10.0.0.13,10.0.0.3,15,15,0,0,1.03742e+06,0.00284763
19618,10.0.0.3,10.0.0.13,8,8,0,0,68341.3,0.00133601
19619,10.0.0.10,10.0.0.4,15,15,0,0,1.0377e+06,0.00285846
19620,10.0.0.4,10.0.0.10,8,8,0,0,68340.7,0.00133614
19621,10.0.0.13,10.0.0.4,15,15,0,0,1.03643e+06,0.00291648
19622,10.0.0.4,10.0.0.13,8,8,0,0,68328.2,0.00133614
19623,10.0.0.5,10.0.0.2,15,15,0,0,1.03876e+06,0.00281856
19624,10.0.0.2,10.0.0.5,8,8,0,0,68341.3,0.001336
19625,10.0.0.2,10.0.0.9,15,15,0,0,1.03775e+06,0.00282456
19626,10.0.0.9,10.0.0.2,8,8,0,0,68328.8,0.001336
19627,10.0.0.9,10.0.0.4,15,15,0,0,1.03856e+06,0.0028755
19628,10.0.0.4,10.0.0.9,8,8,0,0,68340.7,0.00133614
19629,10.0.0.6,10.0.0.15,15,15,0,0,1.03715e+06,0.00290858
19630,10.0.0.15,10.0.0.6,8,8,0,0,68341.3,0.001336
19631,10.0.0.13,10.0.0.15,15,15,0,0,1.03904e+06,0.00286358
19632,10.0.0.15,10.0.0.13,8,8,0,0,68341.3,0.001336
19633,10.0.0.7,10.0.0.2,15,15,0,0,1.03646e+06,0.00296575
19634,10.0.0.2,10.0.0.7,8,8,0,0,68328.8,0.00133601
19635,10.0.0.9,10.0.0.14,15,15,0,0,1.03902e+06,0.00281164
19636,10.0.0.14,10.0.0.9,8,8,0,0,68341.3,0.001336
19637,10.0.0.7,10.0.0.12,15,15,0,0,1.03877e+06,0.00284464
