time,communication_mode,recovery_policy,leader_node_id,failure_active,recovery_active,stabilization_active,active_node_count,effective_recovery_policy,decision_reason,scene_type,operation_mode
82.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
83.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
83.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
84.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
84.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
85.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
85.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
86.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
86.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
87.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
87.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
88.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
88.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
89.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
89.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
90.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
90.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
91.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
91.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
92.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
92.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
93.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
93.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
94.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
94.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
95.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
95.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
96.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
96.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
97.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
97.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
98.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
98.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
99.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
99.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
100.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
100.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
101.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
101.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
102.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
102.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
103.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
103.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
104.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
104.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
105.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
105.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
106.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
106.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
107.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
107.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
108.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
108.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
109.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
109.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
110.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
110.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
111.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
111.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
112.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
112.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
113.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
113.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
114.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
114.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
115.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
115.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
116.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
116.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
117.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
117.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
118.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
118.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
119.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
119.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
120.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
120.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
121.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
121.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
122.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
122.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
123.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
123.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
124.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
124.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
125.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
125.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
126.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
126.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
127.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
127.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
128.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
128.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
129.1,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
129.6,hybrid,global_recovery,0,false,true,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
