time_s,nodeId,x,y,z
23,11,-4.504,3.718,-0.02
23,12,1.525,1.654,0.74
23,13,-2.279,1.376,-0.52
23,14,3.44,3.085,1.38
24,0,0,-0.011,-0.04
24,1,0.975,0,-0.0203933
24,2,1.977,0.011,-0.00368333
24,3,2.9803,0.0455877,0.00855667
24,4,-2.66396,3.01431,-0.5472
24,5,4.0653,0.852215,1.86194
24,6,5.85833,-0.536267,-0.885941
24,7,4.105,0.488,2.23
24,8,7.971,0.133,0.03
24,9,5.551,1.809,-0.98
24,10,0.763,1.276,1.12
24,11,-4.504,3.718,-0.02
24,12,1.525,1.654,0.74
24,13,-2.279,1.376,-0.52
24,14,3.44,3.085,1.38
25,0,0,-0.00733945,-0.04
25,1,0.975,0,-0.0237267
25,2,1.977,0.011,-0.00701667
25,3,2.9833,0.0492543,0.00522333
25,4,-2.68196,3.01797,-0.5572
25,5,4.60654,0.492017,1.80335
25,6,5.84843,-0.548369,-0.907943
25,7,4.105,0.488,2.23
25,8,7.971,0.133,0.03
25,9,5.551,1.809,-0.98
25,10,0.763,1.276,1.12
25,11,-4.504,3.718,-0.02
25,12,1.525,1.654,0.74
25,13,-2.279,1.376,-0.52
25,14,3.44,3.085,1.38
26,0,0,-0.00367156,-0.04
26,1,0.975,0,-0.02706
26,2,1.977,0.011,-0.00965
26,3,2.9863,0.052921,0.00189
26,4,-0.311143,1.96576,-0.570704
26,5,4.77177,0.310804,1.74339
26,6,5.86304,-0.451341,-0.92904
26,7,4.105,0.488,2.23
26,8,7.971,0.133,0.03
26,9,5.551,1.809,-0.98
26,10,0.763,1.276,1.12
26,11,-4.504,3.718,-0.02
26,12,1.525,1.654,0.74
26,13,-2.279,1.376,-0.52
26,14,3.44,3.085,1.38
27,0,0,-3.66789e-06,-0.04
27,1,0.973977,0.001298,-0.03
27,2,1.977,0.011,-0.00631667
27,3,2.988,0.0534123,0.00144333
27,4,2.98866,0.502925,-0.58557
27,5,4.93699,0.129592,1.68343
27,6,5.90737,-0.222008,-0.94904
27,7,4.105,0.488,2.23
27,8,7.971,0.133,0.03
27,9,5.551,1.809,-0.98
27,10,0.763,1.276,1.12
27,11,-4.504,3.718,-0.02
27,12,1.525,1.654,0.74
27,13,-2.279,1.376,-0.52
27,14,3.44,3.085,1.38
28,0,0.002997,-0.007326,-0.03334
28,1,0.965311,0.012298,-0.03
28,2,1.977,0.011,-0.00298333
28,3,2.988,0.0497457,0.00477667
28,4,3.97621,0.0695723,-0.601692
28,5,4.974,0.0918434,1.64157
28,6,5.95171,0.00732533,-0.96904
28,7,4.105,0.488,2.23
28,8,7.971,0.133,0.03
28,9,5.551,1.809,-0.98
28,10,0.763,1.276,1.12
28,11,-4.504,3.718,-0.02
28,12,1.525,1.654,0.74
28,13,-2.279,1.376,-0.52
28,14,3.44,3.085,1.38
29,0,0.005997,-0.0146593,-0.0266733
29,1,0.956644,0.023298,-0.03
29,2,1.97732,0.010615,0
29,3,2.988,0.046079,0.00811
29,4,3.98221,0.0732365,-0.618348
29,5,4.974,0.0955077,1.60492
29,6,5.97464,0.133,-0.986027
29,7,4.105,0.488,2.23
29,8,7.971,0.133,0.03
29,9,5.551,1.809,-0.98
29,10,0.763,1.276,1.12
29,11,-4.504,3.718,-0.02
29,12,1.525,1.654,0.74
29,13,-2.279,1.376,-0.52
29,14,3.44,3.085,1.38
30,0,0.008997,-0.0219927,-0.0200067
30,1,0.949669,0.031702,-0.0303933
30,2,1.98032,0.00694833,0
30,3,2.9867,0.044,0.00855667
30,4,3.9882,0.0769007,-0.635003
30,5,4.974,0.0991719,1.56828
30,6,5.97164,0.133,-0.99936
30,7,4.105,0.488,2.23
30,8,7.971,0.133,0.03
30,9,5.551,1.809,-0.98
30,10,0.763,1.276,1.12
30,11,-4.504,3.718,-0.02
30,12,1.525,1.654,0.74
30,13,-2.279,1.376,-0.52
30,14,3.44,3.085,1.38
31,0,0.006003,-0.018337,-0.02666
31,1,0.955335,0.020702,-0.0337267
31,2,1.98332,0.00328167,0
31,3,2.9837,0.044,0.00522333
31,4,3.9879,0.0754333,-0.497667
31,5,4.97632,0.1,1.1681
31,6,5.96864,0.133,-1.01269
31,7,4.105,0.488,2.23
31,8,7.971,0.133,0.03
31,9,5.551,1.809,-0.98
31,10,0.763,1.276,1.12
31,11,-4.504,3.718,-0.02
31,12,1.525,1.654,0.74
31,13,-2.279,1.376,-0.52
31,14,3.44,3.085,1.38
32,0,0.003003,-0.0146703,-0.0333267
32,1,0.961002,0.009702,-0.03706
32,2,1.986,0,0
32,3,2.9807,0.044,0.00189
32,4,3.9849,0.0717667,-0.294333
32,5,4.97932,0.1,0.661772
32,6,5.967,0.133,-0.878373
32,7,4.105,0.488,2.23
32,8,7.971,0.133,0.03
32,9,5.551,1.809,-0.98
32,10,0.763,1.276,1.12
32,11,-4.504,3.718,-0.02
32,12,1.525,1.654,0.74
32,13,-2.279,1.376,-0.52
32,14,3.44,3.085,1.38
33,0,3e-06,-0.0110037,-0.0399933
33,1,0.966354,0,-0.0392133
