time,num_nodes,num_links,avg_degree,network_density
13,15,57,7.6,0.542857
13.1,15,57,7.6,0.542857
13.2,15,57,7.6,0.542857
13.3,15,57,7.6,0.542857
13.4,15,57,7.6,0.542857
13.5,15,57,7.6,0.542857
13.6,15,57,7.6,0.542857
13.7,15,57,7.6,0.542857
13.8,15,57,7.6,0.542857
13.9,15,57,7.6,0.542857
14,15,57,7.6,0.542857
14.1,15,57,7.6,0.542857
14.2,15,57,7.6,0.542857
14.3,15,57,7.6,0.542857
14.4,15,57,7.6,0.542857
14.5,15,57,7.6,0.542857
14.6,15,57,7.6,0.542857
14.7,15,57,7.6,0.542857
14.8,15,57,7.6,0.542857
14.9,15,57,7.6,0.542857
15,15,57,7.6,0.542857
15.1,15,57,7.6,0.542857
15.2,15,57,7.6,0.542857
15.3,15,57,7.6,0.542857
15.4,15,57,7.6,0.542857
15.5,15,57,7.6,0.542857
15.6,15,57,7.6,0.542857
15.7,15,57,7.6,0.542857
15.8,15,57,7.6,0.542857
15.9,15,57,7.6,0.542857
16,15,57,7.6,0.542857
16.1,15,57,7.6,0.542857
16.2,15,57,7.6,0.542857
16.3,15,57,7.6,0.542857
16.4,15,57,7.6,0.542857
16.5,15,57,7.6,0.542857
16.6,15,57,7.6,0.542857
16.7,15,57,7.6,0.542857
16.8,15,57,7.6,0.542857
16.9,15,57,7.6,0.542857
17,15,57,7.6,0.542857
17.1,15,57,7.6,0.542857
17.2,15,57,7.6,0.542857
17.3,15,57,7.6,0.542857
17.4,15,57,7.6,0.542857
17.5,15,57,7.6,0.542857
17.6,15,57,7.6,0.542857
17.7,15,57,7.6,0.542857
17.8,15,57,7.6,0.542857
17.9,15,57,7.6,0.542857
18,15,57,7.6,0.542857
18.1,15,57,7.6,0.542857
18.2,15,57,7.6,0.542857
18.3,15,57,7.6,0.542857
18.4,15,57,7.6,0.542857
18.5,15,57,7.6,0.542857
18.6,15,57,7.6,0.542857
18.7,15,57,7.6,0.542857
18.8,15,57,7.6,0.542857
18.9,15,57,7.6,0.542857
19,15,57,7.6,0.542857
19.1,15,57,7.6,0.542857
19.2,15,57,7.6,0.542857
19.3,15,57,7.6,0.542857
19.4,15,57,7.6,0.542857
19.5,15,57,7.6,0.542857
19.6,15,57,7.6,0.542857
19.7,15,57,7.6,0.542857
19.8,15,57,7.6,0.542857
19.9,15,57,7.6,0.542857
20,15,57,7.6,0.542857
20.1,15,57,7.6,0.542857
20.2,15,57,7.6,0.542857
20.3,15,57,7.6,0.542857
20.4,15,57,7.6,0.542857
20.5,15,57,7.6,0.542857
20.6,15,57,7.6,0.542857
20.7,15,57,7.6,0.542857
20.8,15,57,7.6,0.542857
20.9,15,57,7.6,0.542857
21,15,57,7.6,0.542857
21.1,15,57,7.6,0.542857
21.2,15,57,7.6,0.542857
21.3,15,57,7.6,0.542857
21.4,15,57,7.6,0.542857
21.5,15,57,7.6,0.542857
21.6,15,57,7.6,0.542857
21.7,15,57,7.6,0.542857
21.8,15,57,7.6,0.542857
21.9,15,57,7.6,0.542857
22,15,57,7.6,0.542857
22.1,15,57,7.6,0.542857
22.2,15,57,7.6,0.542857
22.3,15,57,7.6,0.542857
22.4,15,57,7.6,0.542857
22.5,15,57,7.6,0.542857
22.6,15,57,7.6,0.542857
22.7,15,57,7.6,0.542857
22.8,15,57,7.6,0.542857
22.9,15,57,7.6,0.542857
23,15,57,7.6,0.542857
23.1,15,57,7.6,0.542857
23.2,15,57,7.6,0.542857
23.3,15,57,7.6,0.542857
23.4,15,57,7.6,0.542857
23.5,15,57,7.6,0.542857
23.6,15,57,7.6,0.542857
23.7,15,57,7.6,0.542857
23.8,15,59,7.86667,0.561905
23.9,15,59,7.86667,0.561905
24,15,60,8,0.571429
24.1,15,60,8,0.571429
24.2,15,60,8,0.571429
24.3,15,60,8,0.571429
24.4,15,61,8.13333,0.580952
24.5,15,61,8.13333,0.580952
24.6,15,61,8.13333,0.580952
24.7,15,61,8.13333,0.580952
24.8,15,61,8.13333,0.580952
24.9,15,61,8.13333,0.580952
25,15,61,8.13333,0.580952
25.1,15,61,8.13333,0.580952
25.2,15,61,8.13333,0.580952
25.3,15,62,8.26667,0.590476
25.4,15,62,8.26667,0.590476
25.5,15,62,8.26667,0.590476
25.6,15,62,8.26667,0.590476
25.7,15,62,8.26667,0.590476
25.8,15,62,8.26667,0.590476
25.9,15,62,8.26667,0.590476
26,15,62,8.26667,0.590476
26.1,15,63,8.4,0.6
26.2,15,63,8.4,0.6
26.3,15,62,8.26667,0.590476
26.4,15,62,8.26667,0.590476
26.5,15,62,8.26667,0.590476
26.6,15,62,8.26667,0.590476
26.7,15,62,8.26667,0.590476
26.8,15,63,8.4,0.6
26.9,15,62,8.26667,0.590476
27,15,62,8.26667,0.590476
27.1,15,62,8.26667,0.590476
27.2,15,63,8.4,0.6
27.3,15,63,8.4,0.6
27.4,15,63,8.4,0.6
27.5,15,63,8.4,0.6
27.6,15,64,8.53333,0.609524
27.7,15,64,8.53333,0.609524
27.8,15,65,8.66667,0.619048
27.9,15,64,8.53333,0.609524
28,15,64,8.53333,0.609524
28.1,15,64,8.53333,0.609524
28.2,15,64,8.53333,0.609524
28.3,15,64,8.53333,0.609524
28.4,15,64,8.53333,0.609524
28.5,15,65,8.66667,0.619048
28.6,15,65,8.66667,0.619048
28.7,15,65,8.66667,0.619048
28.8,15,65,8.66667,0.619048
28.9,15,65,8.66667,0.619048
29,15,66,8.8,0.628571
29.1,15,66,8.8,0.628571
29.2,15,68,9.06667,0.647619
29.3,15,70,9.33333,0.666667
29.4,15,70,9.33333,0.666667
29.5,15,71,9.46667,0.67619
29.6,15,72,9.6,0.685714
29.7,15,73,9.73333,0.695238
29.8,15,74,9.86667,0.704762
29.9,15,75,10,0.714286
30,15,76,10.1333,0.72381
30.1,15,76,10.1333,0.72381
30.2,15,77,10.2667,0.733333
30.3,15,77,10.2667,0.733333
30.4,15,79,10.5333,0.752381
30.5,15,79,10.5333,0.752381
30.6,15,81,10.8,0.771429
30.7,15,82,10.9333,0.780952
30.8,15,85,11.3333,0.809524
30.9,15,86,11.4667,0.819048
31,15,87,11.6,0.828571
31.1,15,88,11.7333,0.838095
31.2,15,88,11.7333,0.838095
31.3,15,89,11.8667,0.847619
31.4,15,90,12,0.857143
31.5,15,92,12.2667,0.87619
31.6,15,92,12.2667,0.87619
31.7,15,93,12.4,0.885714
31.8,15,96,12.8,0.914286
31.9,15,97,12.9333,0.92381
32,15,98,13.0667,0.933333
32.1,15,98,13.0667,0.933333
32.2,15,99,13.2,0.942857
32.3,15,99,13.2,0.942857
32.4,15,101,13.4667,0.961905
32.5,15,101,13.4667,0.961905
32.6,15,101,13.4667,0.961905
32.7,15,104,13.8667,0.990476
32.8,15,104,13.8667,0.990476
32.9,15,104,13.8667,0.990476
33,15,104,13.8667,0.990476
33.1,15,105,14,1
33.2,15,105,14,1
33.3,15,105,14,1
33.4,15,105,14,1
33.5,15,105,14,1
33.6,15,105,14,1
33.7,15,105,14,1
33.8,15,105,14,1
33.9,15,105,14,1
34,15,105,14,1
34.1,15,105,14,1
34.2,15,105,14,1
34.3,15,105,14,1
34.4,15,105,14,1
34.5,15,105,14,1
34.6,15,105,14,1
34.7,15,105,14,1
34.8,15,105,14,1
34.9,15,105,14,1
35,15,105,14,1
35.1,15,105,14,1
35.2,15,105,14,1
35.3,15,105,14,1
35.4,15,105,14,1
35.5,15,105,14,1
35.6,15,105,14,1
35.7,15,105,14,1
35.8,15,105,14,1
35.9,15,105,14,1
36,15,105,14,1
36.1,15,105,14,1
36.2,15,105,14,1
36.3,15,105,14,1
36.4,15,105,14,1
36.5,15,105,14,1
36.6,15,105,14,1
36.7,15,105,14,1
36.8,15,105,14,1
36.9,15,105,14,1
37,15,105,14,1
37.1,15,105,14,1
37.2,15,105,14,1
37.3,15,105,14,1
37.4,15,105,14,1
37.5,15,104,13.8667,0.990476
37.6,15,104,13.8667,0.990476
37.7,15,104,13.8667,0.990476
37.8,15,104,13.8667,0.990476
37.9,15,104,13.8667,0.990476
38,15,104,13.8667,0.990476
38.1,15,104,13.8667,0.990476
38.2,15,104,13.8667,0.990476
38.3,15,104,13.8667,0.990476
38.4,15,104,13.8667,0.990476
38.5,15,105,14,1
38.6,15,105,14,1
38.7,15,105,14,1
38.8,15,105,14,1
38.9,15,105,14,1
39,15,105,14,1
39.1,15,105,14,1
39.2,15,105,14,1
39.3,15,105,14,1
39.4,15,105,14,1
39.5,15,105,14,1
39.6,15,105,14,1
39.7,15,105,14,1
39.8,15,105,14,1
39.9,15,105,14,1
40,15,105,14,1
40.1,15,105,14,1
40.2,15,105,14,1
40.3,15,105,14,1
40.4,15,105,14,1
40.5,15,105,14,1
40.6,15,105,14,1
40.7,15,105,14,1
40.8,15,105,14,1
40.9,15,105,14,1
41,15,105,14,1
41.1,15,105,14,1
41.2,15,105,14,1
41.3,15,105,14,1
41.4,15,105,14,1
41.5,15,105,14,1
41.6,15,105,14,1
41.7,15,105,14,1
41.8,15,105,14,1
41.9,15,105,14,1
42,15,105,14,1
42.1,15,105,14,1
42.2,15,105,14,1
42.3,15,105,14,1
42.4,15,105,14,1
42.5,15,105,14,1
42.6,15,105,14,1
42.7,15,105,14,1
42.8,15,105,14,1
42.9,15,105,14,1
43,15,105,14,1
43.1,15,105,14,1
43.2,15,105,14,1
43.3,15,105,14,1
43.4,15,105,14,1
43.5,15,105,14,1
43.6,15,105,14,1
43.7,15,105,14,1
43.8,15,105,14,1
43.9,15,105,14,1
44,15,105,14,1
44.1,15,105,14,1
44.2,15,105,14,1
44.3,15,105,14,1
44.4,15,105,14,1
44.5,15,105,14,1
44.6,15,105,14,1
44.7,15,105,14,1
44.8,15,105,14,1
44.9,15,105,14,1
45,15,105,14,1
45.1,15,105,14,1
45.2,15,105,14,1
45.3,15,105,14,1
45.4,15,105,14,1
45.5,15,105,14,1
45.6,15,105,14,1
45.7,15,105,14,1
45.8,15,105,14,1
45.9,15,105,14,1
46,15,105,14,1
46.1,15,105,14,1
46.2,15,105,14,1
46.3,15,105,14,1
46.4,15,105,14,1
46.5,15,105,14,1
46.6,15,105,14,1
46.7,15,105,14,1
46.8,15,105,14,1
46.9,15,105,14,1
47,15,105,14,1
47.1,15,105,14,1
47.2,15,105,14,1
47.3,15,105,14,1
47.4,15,105,14,1
47.5,15,105,14,1
47.6,15,105,14,1
47.7,15,105,14,1
47.8,15,105,14,1
47.9,15,105,14,1
48,15,105,14,1
48.1,15,105,14,1
48.2,15,105,14,1
48.3,15,105,14,1
48.4,15,105,14,1
48.5,15,105,14,1
48.6,15,105,14,1
48.7,15,105,14,1
48.8,15,105,14,1
48.9,15,105,14,1
49,15,105,14,1
49.1,15,105,14,1
49.2,15,105,14,1
49.3,15,105,14,1
49.4,15,105,14,1
49.5,15,105,14,1
49.6,15,105,14,1
49.7,15,105,14,1
