time_s,nodeId,x,y,z
31,9,-1.037,0.966781,6.27929
31,10,-0.027,1.01413,6.35
31,11,0.904,1.01461,6.28419
31,12,1.906,1.065,6.28
31,13,2.93179,1.021,6.07002
31,14,-1.03193,0.022,6.28
32,0,0.005556,0.0152093,6.28617
32,1,0.954331,0.055,6.29
32,2,1.92327,0.043109,6.28081
32,3,2.97,0.0467335,6.69281
32,4,1.197,0.233,3.63
32,5,6.969,-0.677,17.66
32,6,5.799,0.499,10.58
32,7,6.952,0.033,6.37
32,8,7.954,0.078,9.91
32,9,-1.037,0.970448,6.27596
32,10,-0.027,1.01047,6.35
32,11,0.904,1.01828,6.28752
32,12,1.906,1.065,6.27579
32,13,2.93479,1.021,6.11669
32,14,-1.02926,0.022,6.28
33,0,0.002556,0.018876,6.28284
33,1,0.951331,0.055,6.29
33,2,1.92027,0.0394423,6.28414
33,3,2.97098,0.044,6.36653
33,4,1.197,0.233,3.63
33,5,6.969,-0.677,17.66
33,6,5.799,0.499,10.58
33,7,6.952,0.033,6.37
33,8,7.954,0.078,9.91
33,9,-1.037,0.974114,6.27262
33,10,-0.0316747,1.01,6.34416
33,11,0.904,1.02006,6.28914
33,12,1.906,1.065,6.26912
33,13,2.935,1.021,6.19737
33,14,-1.03141,0.0186927,6.28902
34,0,0.000444,0.0209147,6.27951
34,1,0.949,0.055,6.28926
34,2,1.91727,0.0357757,6.28748
34,3,2.979,0.044,6.42
34,4,1.197,0.233,3.63
34,5,6.969,-0.677,17.66
34,6,5.799,0.499,10.58
34,7,6.952,0.033,6.37
34,8,7.954,0.078,9.91
34,9,-1.037,0.977,6.27071
34,10,-0.035,1.01278,6.34379
34,11,0.904,1.01639,6.28581
34,12,1.906,1.065,6.26246
34,13,2.93574,1.02009,6.26248
34,14,-1.03407,0.015026,6.29902
35,0,0.003444,0.0135813,6.27617
35,1,0.949,0.055,6.28592
35,2,1.915,0.033,6.29
35,3,2.97391,0.0407073,6.39007
35,4,1.197,0.233,3.63
35,5,6.969,-0.677,17.66
35,6,5.799,0.499,10.58
35,7,6.952,0.033,6.37
35,8,7.954,0.078,9.91
35,9,-1.037,0.977,6.27404
35,10,-0.035,1.02011,6.35379
35,11,0.904,1.01272,6.28247
35,12,1.906,1.06037,6.27472
35,13,2.93874,1.01642,6.27248
35,14,-1.03674,0.0113593,6.30902
36,0,0.006444,0.006248,6.27284
